+----------+------+--------+-------------------+-------------------+-----------+
| Prior pi | PCA  |   λ    | minDCF (pi = 0.1) | minDCF (pi = 0.5) | min Cprim |
+----------+------+--------+-------------------+-------------------+-----------+
| Dataset  |  5   | 1e-05  |       0.387       |       0.113       |    0.25   |
| Dataset  |  5   | 0.0001 |       0.387       |       0.113       |    0.25   |
| Dataset  |  5   | 0.001  |       0.387       |       0.113       |    0.25   |
| Dataset  |  5   |  0.01  |       0.385       |       0.113       |   0.249   |
| Dataset  |  5   |  0.1   |       0.379       |       0.112       |   0.245   |
| Dataset  |  5   |   1    |       0.407       |       0.106       |   0.257   |
| Dataset  |  5   |   10   |       0.422       |       0.108       |   0.265   |
| Dataset  |  5   |  100   |       0.451       |        0.12       |   0.285   |
| Dataset  |  5   |  1000  |       0.502       |       0.128       |   0.315   |
| Dataset  |  4   | 1e-05  |       0.485       |       0.128       |   0.307   |
| Dataset  |  4   | 0.0001 |       0.485       |       0.129       |   0.307   |
| Dataset  |  4   | 0.001  |       0.484       |       0.129       |   0.306   |
| Dataset  |  4   |  0.01  |       0.481       |       0.129       |   0.305   |
| Dataset  |  4   |  0.1   |       0.484       |       0.126       |   0.305   |
| Dataset  |  4   |   1    |       0.512       |       0.123       |   0.318   |
| Dataset  |  4   |   10   |       0.514       |       0.126       |    0.32   |
| Dataset  |  4   |  100   |       0.536       |       0.128       |   0.332   |
| Dataset  |  4   |  1000  |       0.557       |       0.133       |   0.345   |
| Dataset  |  3   | 1e-05  |       0.541       |       0.134       |   0.337   |
| Dataset  |  3   | 0.0001 |       0.541       |       0.134       |   0.337   |
| Dataset  |  3   | 0.001  |       0.541       |       0.134       |   0.337   |
| Dataset  |  3   |  0.01  |       0.541       |       0.133       |   0.337   |
| Dataset  |  3   |  0.1   |       0.539       |       0.133       |   0.336   |
| Dataset  |  3   |   1    |       0.536       |       0.135       |   0.335   |
| Dataset  |  3   |   10   |       0.542       |       0.133       |   0.338   |
| Dataset  |  3   |  100   |       0.541       |       0.134       |   0.337   |
| Dataset  |  3   |  1000  |       0.574       |       0.132       |   0.353   |
| Dataset  |  2   | 1e-05  |       0.755       |       0.212       |   0.483   |
| Dataset  |  2   | 0.0001 |       0.755       |       0.212       |   0.483   |
| Dataset  |  2   | 0.001  |       0.755       |       0.211       |   0.483   |
| Dataset  |  2   |  0.01  |       0.755       |       0.211       |   0.483   |
| Dataset  |  2   |  0.1   |       0.759       |       0.211       |   0.485   |
| Dataset  |  2   |   1    |       0.781       |       0.213       |   0.497   |
| Dataset  |  2   |   10   |        0.8        |       0.218       |   0.509   |
| Dataset  |  2   |  100   |       0.797       |       0.224       |   0.511   |
| Dataset  |  2   |  1000  |       0.811       |       0.225       |   0.518   |
| Dataset  | None | 1e-05  |       0.389       |       0.111       |    0.25   |
| Dataset  | None | 0.0001 |       0.389       |       0.111       |    0.25   |
| Dataset  | None | 0.001  |        0.39       |       0.111       |   0.251   |
| Dataset  | None |  0.01  |       0.387       |       0.112       |   0.249   |
| Dataset  | None |  0.1   |       0.376       |        0.11       |   0.243   |
| Dataset  | None |   1    |       0.411       |       0.108       |   0.259   |
| Dataset  | None |   10   |       0.436       |       0.109       |   0.272   |
| Dataset  | None |  100   |       0.455       |       0.117       |   0.286   |
| Dataset  | None |  1000  |        0.5        |       0.128       |   0.314   |
|   Fold   |  5   | 1e-05  |       0.387       |       0.113       |    0.25   |
|   Fold   |  5   | 0.0001 |       0.387       |       0.113       |    0.25   |
|   Fold   |  5   | 0.001  |       0.387       |       0.113       |    0.25   |
|   Fold   |  5   |  0.01  |       0.385       |       0.113       |   0.249   |
|   Fold   |  5   |  0.1   |       0.379       |       0.112       |   0.245   |
|   Fold   |  5   |   1    |       0.407       |       0.106       |   0.257   |
|   Fold   |  5   |   10   |       0.422       |       0.108       |   0.265   |
|   Fold   |  5   |  100   |       0.451       |        0.12       |   0.285   |
|   Fold   |  5   |  1000  |       0.502       |       0.128       |   0.315   |
|   Fold   |  4   | 1e-05  |       0.485       |       0.128       |   0.307   |
|   Fold   |  4   | 0.0001 |       0.485       |       0.129       |   0.307   |
|   Fold   |  4   | 0.001  |       0.484       |       0.129       |   0.306   |
|   Fold   |  4   |  0.01  |       0.481       |       0.129       |   0.305   |
|   Fold   |  4   |  0.1   |       0.484       |       0.126       |   0.305   |
|   Fold   |  4   |   1    |       0.512       |       0.123       |   0.318   |
|   Fold   |  4   |   10   |       0.514       |       0.126       |    0.32   |
|   Fold   |  4   |  100   |       0.536       |       0.128       |   0.332   |
|   Fold   |  4   |  1000  |       0.557       |       0.133       |   0.345   |
|   Fold   |  3   | 1e-05  |       0.541       |       0.134       |   0.337   |
|   Fold   |  3   | 0.0001 |       0.541       |       0.134       |   0.337   |
|   Fold   |  3   | 0.001  |       0.541       |       0.134       |   0.337   |
|   Fold   |  3   |  0.01  |       0.541       |       0.133       |   0.337   |
|   Fold   |  3   |  0.1   |       0.539       |       0.133       |   0.336   |
|   Fold   |  3   |   1    |       0.536       |       0.135       |   0.335   |
|   Fold   |  3   |   10   |       0.542       |       0.133       |   0.338   |
|   Fold   |  3   |  100   |       0.541       |       0.134       |   0.337   |
|   Fold   |  3   |  1000  |       0.574       |       0.132       |   0.353   |
|   Fold   |  2   | 1e-05  |       0.755       |       0.212       |   0.483   |
|   Fold   |  2   | 0.0001 |       0.755       |       0.212       |   0.483   |
|   Fold   |  2   | 0.001  |       0.755       |       0.211       |   0.483   |
|   Fold   |  2   |  0.01  |       0.755       |       0.211       |   0.483   |
|   Fold   |  2   |  0.1   |       0.759       |       0.211       |   0.485   |
|   Fold   |  2   |   1    |       0.781       |       0.213       |   0.497   |
|   Fold   |  2   |   10   |        0.8        |       0.218       |   0.509   |
|   Fold   |  2   |  100   |       0.797       |       0.224       |   0.511   |
|   Fold   |  2   |  1000  |       0.811       |       0.225       |   0.518   |
|   Fold   | None | 1e-05  |       0.389       |       0.111       |    0.25   |
|   Fold   | None | 0.0001 |       0.389       |       0.111       |    0.25   |
|   Fold   | None | 0.001  |        0.39       |       0.111       |   0.251   |
|   Fold   | None |  0.01  |       0.387       |       0.112       |   0.249   |
|   Fold   | None |  0.1   |       0.376       |        0.11       |   0.243   |
|   Fold   | None |   1    |       0.411       |       0.108       |   0.259   |
|   Fold   | None |   10   |       0.436       |       0.109       |   0.272   |
|   Fold   | None |  100   |       0.455       |       0.117       |   0.286   |
|   Fold   | None |  1000  |        0.5        |       0.128       |   0.314   |
|   0.1    |  5   | 1e-05  |       0.385       |       0.115       |    0.25   |
|   0.1    |  5   | 0.0001 |       0.385       |       0.115       |    0.25   |
|   0.1    |  5   | 0.001  |       0.384       |       0.115       |   0.249   |
|   0.1    |  5   |  0.01  |       0.382       |       0.114       |   0.248   |
|   0.1    |  5   |  0.1   |       0.377       |       0.112       |   0.245   |
|   0.1    |  5   |   1    |       0.411       |       0.106       |   0.259   |
|   0.1    |  5   |   10   |        0.42       |       0.109       |   0.265   |
|   0.1    |  5   |  100   |       0.456       |        0.12       |   0.288   |
|   0.1    |  5   |  1000  |        0.51       |       0.127       |   0.318   |
|   0.1    |  4   | 1e-05  |       0.485       |       0.132       |   0.308   |
|   0.1    |  4   | 0.0001 |       0.485       |       0.132       |   0.308   |
|   0.1    |  4   | 0.001  |       0.485       |       0.132       |   0.308   |
|   0.1    |  4   |  0.01  |       0.486       |       0.131       |   0.309   |
|   0.1    |  4   |  0.1   |       0.485       |       0.128       |   0.306   |
|   0.1    |  4   |   1    |        0.51       |       0.124       |   0.317   |
|   0.1    |  4   |   10   |       0.516       |       0.126       |   0.321   |
|   0.1    |  4   |  100   |        0.54       |       0.128       |   0.334   |
|   0.1    |  4   |  1000  |       0.561       |       0.132       |   0.346   |
|   0.1    |  3   | 1e-05  |       0.542       |       0.134       |   0.338   |
|   0.1    |  3   | 0.0001 |       0.542       |       0.134       |   0.338   |
|   0.1    |  3   | 0.001  |       0.542       |       0.134       |   0.338   |
