+--------+------------+----------------+-------------+---------------+---------------------+---------------------+
|  PCA   | g (target) | g (NON target) |   function  | Working Point |        minDCF       |        C_prim       |
+--------+------------+----------------+-------------+---------------+---------------------+---------------------+
| No PCA |     1      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     1      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.982454969891371  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9352595181080936 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9588572439997323 |
| No PCA |     1      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     1      |       2        |    GMM_EM   |  (0.1, 1, 1)  | 0.37756317803583067 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09580938117753306 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.23668627960668187 |
| No PCA |     1      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9807958432187618 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8945899395329582 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |   0.93769289137586  |
| No PCA |     1      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     1      |       4        |    GMM_EM   |  (0.1, 1, 1)  | 0.29766714363148133 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09808750356750968 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.1978773235994955 |
| No PCA |     1      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9808677345641896 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9203120297759062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9505898821700479 |
| No PCA |     1      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     1      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.2946805075585698 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09668685204933147 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.19568367980395063 |
| No PCA |     1      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.979047731350893  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9044181344140101 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9417329328824515 |
| No PCA |     1      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3061542651387837 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09918795643064746 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.20267111078471556 |
| No PCA |     1      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.3087312351229994 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09926351532031692 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.20399737522165814 |
| No PCA |     1      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9809491241321538 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9057340288009007 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9433415764665273 |
| No PCA |     1      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.3052083247100375 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.0932418382240941 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.1992250814670658 |
| No PCA |     2      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.3846769905559599 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.0832221867699415 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.23394958866295068 |
| No PCA |     2      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9740239420283281 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8680421967047522 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9210330693665402 |
| No PCA |     2      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     2      |       2        |    GMM_EM   |  (0.1, 1, 1)  | 0.37533711943471293 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09776846417980693 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.23655279180725994 |
| No PCA |     2      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9922212830981634 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9456686647274223 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9689449739127929 |
| No PCA |     2      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     2      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.2901967106069855 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10748161766721935 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.19883916413710243 |
| No PCA |     2      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9829952682510393 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.932078124017273  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9575366961341562 |
| No PCA |     2      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3918613629911364 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08421531245818062 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2380383377246585 |
| No PCA |     2      |       8        |    GMM_EM   |  (0.1, 1, 1)  | 0.28648121413036065 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10621417055633786 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.19634769234334926 |
| No PCA |     2      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9860761791943643 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8793317913427998 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9327039852685821 |
| No PCA |     2      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3061542651387837 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09918795643064746 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.20267111078471556 |
| No PCA |     2      |       16       |    GMM_EM   |  (0.1, 1, 1)  | 0.30351331538701665 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10963893882648916 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2065761271067529 |
| No PCA |     2      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9880829050975779 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9160734260105292 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9520781655540536 |
| No PCA |     2      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.3052083247100375 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.0932418382240941 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.1992250814670658 |
| No PCA |     4      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.443267780762005  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10195233893578348 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.27261005984889425 |
| No PCA |     4      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9810417771452269 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.777951270407266  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8794965237762464 |
| No PCA |     4      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4381384792366072 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09576550859157211 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.26695199391408964 |
| No PCA |     4      |       2        |    GMM_EM   |  (0.1, 1, 1)  | 0.42526212454068446 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10019375073771761 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.26272793763920105 |
| No PCA |     4      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9840036070087027 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7767939004763795 |          -          |
