+--------+--------+--------+--------+--------+-----+---------------+---------------------+---------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF       |        C_prim       |
+--------+--------+--------+--------+--------+-----+---------------+---------------------+---------------------+
| No PCA | Linear | 0.0001 |   -    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9805504344698459 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8959322449388061 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.938241339704326  |
| No PCA | Linear | 0.0001 |   -    |   -    |  1  |  (0.1, 1, 1)  |  0.9805504344698459 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8953690699389891 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9379597522044175 |
| No PCA | Linear | 0.0001 |   -    |   -    |  10 |  (0.1, 1, 1)  |  0.9880441578590847 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9000565466927182 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9440503522759014 |
| No PCA | Linear | 0.001  |   -    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9863200815638633 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8941241316594783 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9402221066116708 |
| No PCA | Linear | 0.001  |   -    |   -    |  1  |  (0.1, 1, 1)  |  0.9863200815638633 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8941241316594783 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9402221066116708 |
| No PCA | Linear | 0.001  |   -    |   -    |  10 |  (0.1, 1, 1)  |  0.9952662324582018 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9170481857626012 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9561572091104015 |
| No PCA | Linear |  0.01  |   -    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9875699313415343 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.897076697696713  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9423233145191237 |
| No PCA | Linear |  0.01  |   -    |   -    |  1  |  (0.1, 1, 1)  |  0.9890014307435676 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9018561412145886 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9454287859790781 |
| No PCA | Linear |  0.01  |   -    |   -    |  10 |  (0.1, 1, 1)  |  0.990305579511918  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9456014892674045 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9679535343896613 |
| No PCA | Linear |  0.1   |   -    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9881988621591443 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.900154843002953  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9441768525810487 |
| No PCA | Linear |  0.1   |   -    |   -    |  1  |  (0.1, 1, 1)  |  0.9938172229760831 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9200052363173941 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9569112296467386 |
| No PCA | Linear |  0.1   |   -    |   -    |  10 |  (0.1, 1, 1)  |  0.9993710691823899 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9489711672392781 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.974171118210834  |
| No PCA | Linear |   1    |   -    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9867827107804986 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9127450016271945 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9497638562038466 |
| No PCA | Linear |   1    |   -    |   -    |  1  |  (0.1, 1, 1)  |  0.9992882562277581 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9357135240046123 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9675008901161852 |
| No PCA | Linear |   1    |   -    |   -    |  10 |  (0.1, 1, 1)  |  0.9935086223677965 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9234465048810566 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9584775636244265 |
| No PCA |  Poly  | 0.0001 |   2    |   -    | 0.1 |  (0.1, 1, 1)  | 0.29979026932984854 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.0880624291747448 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.19392634925229668 |
| No PCA |  Poly  | 0.0001 |   2    |   -    |  1  |  (0.1, 1, 1)  | 0.28958875303167164 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08624487166585484 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.18791681234876323 |
| No PCA |  Poly  | 0.0001 |   2    |   -    |  10 |  (0.1, 1, 1)  | 0.26463246907981897 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08101767102630013 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.17282507005305955 |
| No PCA |  Poly  | 0.0001 |   3    |   -    | 0.1 |  (0.1, 1, 1)  | 0.49148892858980064 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.11052222408134349 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.30100557633557207 |
| No PCA |  Poly  | 0.0001 |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.4911640989670996 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.11031043193165743 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.3007372654493785 |
| No PCA |  Poly  | 0.0001 |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.4835504283018411 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1254791746637895 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.3045148014828153 |
| No PCA |  Poly  | 0.001  |   2    |   -    | 0.1 |  (0.1, 1, 1)  |  0.2931192939242893 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08681498886283383 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.18996714139356158 |
| No PCA |  Poly  | 0.001  |   2    |   -    |  1  |  (0.1, 1, 1)  |  0.2914450589534012 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08701532371141636 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1892301913324088 |
| No PCA |  Poly  | 0.001  |   2    |   -    |  10 |  (0.1, 1, 1)  |  0.2915575847353269 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.0852762839327907 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1884169343340588 |
| No PCA |  Poly  | 0.001  |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.5760932499792992 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.13853558264498084 |          -          |
