PCA,Type,lambda,Working Point,minDCF,C_prim
No PCA,Quadratic,1e-06,"(0.1, 1, 1)",0.3293146554926528,-
No PCA,Quadratic,1e-06,"(0.5, 1, 1)",0.08537852921848167,-
-,-,-,-,-,0.20734659235556724
No PCA,Quadratic,1e-05,"(0.1, 1, 1)",0.31819674495197886,-
No PCA,Quadratic,1e-05,"(0.5, 1, 1)",0.08695082965419972,-
-,-,-,-,-,0.20257378730308928
No PCA,Quadratic,0.0001,"(0.1, 1, 1)",0.3352575242355019,-
No PCA,Quadratic,0.0001,"(0.5, 1, 1)",0.09262761056548738,-
-,-,-,-,-,0.21394256740049467
No PCA,Quadratic,0.001,"(0.1, 1, 1)",0.4421860012238186,-
No PCA,Quadratic,0.001,"(0.5, 1, 1)",0.11322577444317021,-
-,-,-,-,-,0.2777058878334944
No PCA,Quadratic,0.01,"(0.1, 1, 1)",0.6427485866295687,-
No PCA,Quadratic,0.01,"(0.5, 1, 1)",0.16773769622372042,-
-,-,-,-,-,0.4052431414266445
No PCA,Quadratic,0.1,"(0.1, 1, 1)",0.8193030198516897,-
No PCA,Quadratic,0.1,"(0.5, 1, 1)",0.28429474807694755,-
-,-,-,-,-,0.5517988839643186
No PCA,Quadratic,1,"(0.1, 1, 1)",0.9174325983221463,-
No PCA,Quadratic,1,"(0.5, 1, 1)",0.46538764433670743,-
-,-,-,-,-,0.6914101213294268
No PCA,Quadratic,10,"(0.1, 1, 1)",0.949030093788258,-
No PCA,Quadratic,10,"(0.5, 1, 1)",0.6463725446720068,-
-,-,-,-,-,0.7977013192301323
9,Quadratic,1e-06,"(0.1, 1, 1)",0.30461821632288105,-
9,Quadratic,1e-06,"(0.5, 1, 1)",0.08112658425405803,-
-,-,-,-,-,0.19287240028846953
9,Quadratic,1e-05,"(0.1, 1, 1)",0.30442020175711393,-
9,Quadratic,1e-05,"(0.5, 1, 1)",0.08141130649240577,-
-,-,-,-,-,0.19291575412475986
9,Quadratic,0.0001,"(0.1, 1, 1)",0.29955762399361663,-
9,Quadratic,0.0001,"(0.5, 1, 1)",0.08312899457764394,-
-,-,-,-,-,0.1913433092856303
9,Quadratic,0.001,"(0.1, 1, 1)",0.30767431408557083,-
9,Quadratic,0.001,"(0.5, 1, 1)",0.09214777347374845,-
-,-,-,-,-,0.19991104377965963
9,Quadratic,0.01,"(0.1, 1, 1)",0.39684811289999755,-
9,Quadratic,0.01,"(0.5, 1, 1)",0.11867827635719004,-
-,-,-,-,-,0.2577631946285938
9,Quadratic,0.1,"(0.1, 1, 1)",0.5231940914418785,-
9,Quadratic,0.1,"(0.5, 1, 1)",0.1556725245856747,-
-,-,-,-,-,0.3394333080137766
9,Quadratic,1,"(0.1, 1, 1)",0.6999277916288731,-
9,Quadratic,1,"(0.5, 1, 1)",0.21403661457509263,-
-,-,-,-,-,0.45698220310198284
9,Quadratic,10,"(0.1, 1, 1)",0.8560861854116437,-
9,Quadratic,10,"(0.5, 1, 1)",0.3029880466641911,-
-,-,-,-,-,0.5795371160379175
8,Quadratic,1e-06,"(0.1, 1, 1)",0.30066736581057757,-
8,Quadratic,1e-06,"(0.5, 1, 1)",0.08241712673896492,-
-,-,-,-,-,0.19154224627477123
8,Quadratic,1e-05,"(0.1, 1, 1)",0.2967110166347314,-
8,Quadratic,1e-05,"(0.5, 1, 1)",0.08247579461708925,-
-,-,-,-,-,0.18959340562591032
8,Quadratic,0.0001,"(0.1, 1, 1)",0.28147671076519876,-
8,Quadratic,0.0001,"(0.5, 1, 1)",0.08227689101843083,-
-,-,-,-,-,0.1818768008918148
8,Quadratic,0.001,"(0.1, 1, 1)",0.29270025500670227,-
8,Quadratic,0.001,"(0.5, 1, 1)",0.08711675895852936,-
-,-,-,-,-,0.1899085069826158
8,Quadratic,0.01,"(0.1, 1, 1)",0.4274059242643804,-
8,Quadratic,0.01,"(0.5, 1, 1)",0.10082743365880806,-
-,-,-,-,-,0.26411667896159424
8,Quadratic,0.1,"(0.1, 1, 1)",0.577384064543603,-
8,Quadratic,0.1,"(0.5, 1, 1)",0.1346942906120085,-
-,-,-,-,-,0.3560391775778058
8,Quadratic,1,"(0.1, 1, 1)",0.751746556890533,-
8,Quadratic,1,"(0.5, 1, 1)",0.2222711960867921,-
-,-,-,-,-,0.4870088764886626
8,Quadratic,10,"(0.1, 1, 1)",0.890074339232474,-
8,Quadratic,10,"(0.5, 1, 1)",0.3106873047088845,-
-,-,-,-,-,0.6003808219706792
7,Quadratic,1e-06,"(0.1, 1, 1)",0.2694376302784502,-
7,Quadratic,1e-06,"(0.5, 1, 1)",0.0853786210782184,-
-,-,-,-,-,0.1774081256783343
7,Quadratic,1e-05,"(0.1, 1, 1)",0.26628729665144313,-
7,Quadratic,1e-05,"(0.5, 1, 1)",0.08414458997155276,-
-,-,-,-,-,0.17521594331149795
7,Quadratic,0.0001,"(0.1, 1, 1)",0.26787423859825077,-
7,Quadratic,0.0001,"(0.5, 1, 1)",0.08479110033122238,-
-,-,-,-,-,0.17633266946473658
7,Quadratic,0.001,"(0.1, 1, 1)",0.2817896054163492,-
7,Quadratic,0.001,"(0.5, 1, 1)",0.08986884178864327,-
-,-,-,-,-,0.1858292236024962
7,Quadratic,0.01,"(0.1, 1, 1)",0.4292185771602514,-
7,Quadratic,0.01,"(0.5, 1, 1)",0.10305004849101743,-
-,-,-,-,-,0.26613431282563443
7,Quadratic,0.1,"(0.1, 1, 1)",0.5900462732359307,-
7,Quadratic,0.1,"(0.5, 1, 1)",0.13049461836502294,-
-,-,-,-,-,0.36027044580047685
7,Quadratic,1,"(0.1, 1, 1)",0.7360610745708002,-
7,Quadratic,1,"(0.5, 1, 1)",0.20724208329476762,-
-,-,-,-,-,0.47165157893278387
7,Quadratic,10,"(0.1, 1, 1)",0.8694121881355633,-
7,Quadratic,10,"(0.5, 1, 1)",0.2713724534940975,-
-,-,-,-,-,0.5703923208148304
