RBF BEST --> PCA : No PCA -- c_best : 1 -- gamma_best : 0.1 -- K_best : 1 -- C_prim: 0.025
Poly (dim3) BEST --> PCA : No PCA -- c_best : 0.0001 -- d_best : 3 -- K_best : 1 -- C_prim: 0.015384615384615385
Poly (dim2) BEST --> PCA : No PCA -- c_best : 0.01 -- d_best : 2 -- K_best : 1 -- C_prim: 0.0
Lin BEST --> PCA : No PCA -- c_best : 0.1 -- K_best : 1 -- C_prim: 0.020833333333333336
+--------+--------+--------+--------+--------+-----+---------------+----------------------+----------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF        |        C_prim        |
+--------+--------+--------+--------+--------+-----+---------------+----------------------+----------------------+
| No PCA | Linear | 0.0001 |   -    |   -    | 0.1 |  (0.1, 1, 1)  | 0.17153846153846156  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1372893772893773  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |  0.1544139194139194  |
| No PCA | Linear | 0.0001 |   -    |   -    |  1  |  (0.1, 1, 1)  | 0.17153846153846156  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1372893772893773  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |  0.1544139194139194  |
| No PCA | Linear | 0.0001 |   -    |   -    |  10 |  (0.1, 1, 1)  | 0.17153846153846156  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1372893772893773  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |  0.1544139194139194  |
| No PCA | Linear | 0.001  |   -    |   -    | 0.1 |  (0.1, 1, 1)  | 0.15615384615384617  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1372893772893773  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.14672161172161174  |
| No PCA | Linear | 0.001  |   -    |   -    |  1  |  (0.1, 1, 1)  | 0.15615384615384617  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1372893772893773  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.14672161172161174  |
| No PCA | Linear | 0.001  |   -    |   -    |  10 |  (0.1, 1, 1)  | 0.14076923076923079  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.12190476190476192  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.13133699633699636  |
| No PCA | Linear |  0.01  |   -    |   -    | 0.1 |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
| No PCA | Linear |  0.01  |   -    |   -    |  1  |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
| No PCA | Linear |  0.01  |   -    |   -    |  10 |  (0.1, 1, 1)  | 0.09000000000000001  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.07333333333333333  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.08166666666666667  |
| No PCA | Linear |  0.1   |   -    |   -    | 0.1 |  (0.1, 1, 1)  | 0.04038461538461539  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.03205128205128205  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.036217948717948714 |
| No PCA | Linear |  0.1   |   -    |   -    |  1  |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.016666666666666666 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.020833333333333336 |
| No PCA | Linear |  0.1   |   -    |   -    |  10 |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
| No PCA | Linear |   1    |   -    |   -    | 0.1 |  (0.1, 1, 1)  | 0.04038461538461539  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.03205128205128205  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.036217948717948714 |
| No PCA | Linear |   1    |   -    |   -    |  1  |  (0.1, 1, 1)  | 0.04038461538461539  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.03205128205128205  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.036217948717948714 |
| No PCA | Linear |   1    |   -    |   -    |  10 |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
| No PCA |  Poly  | 0.0001 |   2    |   -    | 0.1 |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
| No PCA |  Poly  | 0.0001 |   2    |   -    |  1  |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
| No PCA |  Poly  | 0.0001 |   2    |   -    |  10 |  (0.1, 1, 1)  |         0.07         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.05333333333333333  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.06166666666666667  |
| No PCA |  Poly  | 0.0001 |   3    |   -    | 0.1 |  (0.1, 1, 1)  | 0.04038461538461539  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.03205128205128205  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.036217948717948714 |
| No PCA |  Poly  | 0.0001 |   3    |   -    |  1  |  (0.1, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.015384615384615385 |
| No PCA |  Poly  | 0.0001 |   3    |   -    |  10 |  (0.1, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |        0.025         |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           |        0.025         |
